,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Client ID,YYY528,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Tradebook for Equity from 2023-04-01 to 2024-03-31,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Symbol,ISIN,Trade Date,Exchange,Segment,Series,Trade Type,Auction,Quantity,Price,Trade ID,Order ID,Order Execution Time
ADANIGREEN,INE364U01010,2023-04-12,NSE,EQ,EQ,buy,FALSE,10,942,3599513,1000000020145865,2023-04-12T15:00:14
ADANIPOWER,INE814H01011,2023-04-12,NSE,EQ,EQ,buy,FALSE,25,192.45,3611769,1000000020200350,2023-04-12T15:00:55
INFY,INE009A01021,2023-04-18,NSE,EQ,EQ,buy,FALSE,5,1259.95,28536921,1100000018925387,2023-04-18T14:02:40
MIRZAINT,INE771A01026,2023-04-19,BSE,EQ,A,buy,FALSE,4,47.6,32151300,1681880285616368838,2023-04-19T10:32:52
MIRZAINT,INE771A01026,2023-04-19,BSE,EQ,A,buy,FALSE,14,48.24,32539700,1681880285616451931,2023-04-19T10:34:19
ADANIGREEN,INE364U01010,2023-04-27,NSE,EQ,EQ,buy,FALSE,2,917.6,528205,1000000003057242,2023-04-27T09:41:44
ADANIGREEN,INE364U01010,2023-04-27,NSE,EQ,EQ,buy,FALSE,3,917.6,528206,1000000003057242,2023-04-27T09:41:44
MIRZAINT,INE771A01026,2023-04-27,BSE,EQ,A,buy,FALSE,6,69.58,17278800,1682566200000365659,2023-04-27T09:48:03
ADANIPOWER,INE814H01011,2023-05-08,NSE,EQ,EQ,buy,FALSE,25,237.95,809823,1000000004271571,2023-05-08T09:47:27
ADANIGREEN,INE364U01010,2023-05-08,NSE,EQ,EQ,buy,FALSE,15,907.7,816445,1000000004308475,2023-05-08T09:47:53
YESBANK,INE528G01035,2023-05-16,NSE,EQ,EQ,buy,FALSE,100,15.9,77129706,1300000008979069,2023-05-16T11:23:33
ADANIGREEN,INE364U01010,2023-05-17,NSE,EQ,EQ,buy,FALSE,10,878.9,854876,1000000004762298,2023-05-17T09:54:30
DLF,INE271C01023,2023-05-18,NSE,EQ,EQ,buy,FALSE,10,463.15,27442619,1100000012798174,2023-05-18T12:10:34
CANFINHOME,INE477A01020,2023-05-18,BSE,EQ,A,buy,FALSE,10,692.5,56950100,1684391021063543436,2023-05-18T12:10:51
ADANIGREEN,INE364U01010,2023-05-18,BSE,EQ,A,buy,FALSE,15,874,57356100,1684391021063597290,2023-05-18T12:13:39
L&TFH,INE498L01015,2023-05-26,NSE,EQ,EQ,buy,FALSE,10,101.95,52451931,1200000012734081,2023-05-26T12:34:44
GMRINFRA,INE776C01039,2023-06-06,NSE,EQ,EQ,buy,FALSE,100,41.45,27515407,1100000014477683,2023-06-06T12:14:16
RENUKA,INE087H01022,2023-06-06,BSE,EQ,A,buy,FALSE,10,41.79,69103100,1686033276973431485,2023-06-06T12:15:28
